article_title,revision_id,url,country,article_quality
Ahmed Dino,1209165678,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Stub
Rasih Dino,1180949327,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Stub
Ferhat Bey Draga,1236738861,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,C
Nexhip Draga,1236738502,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,GA
Aqif Pasha Elbasani,1243882903,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,GA
Abas Ermenji,1240801210,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Start
Qamil Musa Haxhi Feza,1198224146,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Stub
Themistokli Gërmenji,1241037317,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,C
Sabri Godo,1230739582,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,C
Mihal Grameno,1226635783,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,C
Aćif Hadžiahmetović,1229938943,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,GA
High Council of Regency,1245450388,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,C
Kurt Agë Kadiu,1244486529,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Stub
Mehmed Kalakula,1145510350,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Stub
Alfred Karamuço,1098236555,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Stub
Ibrahim Karbunara,1235824719,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,C
Ali Këlcyra,1227369252,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,Start
Bajram Kelmendi,1237006808,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Start
Kristo Kirka,1237950375,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,C
Elez Koçi,1174010569,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Start
Xhelal Koprëncka,1209148780,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Stub
Kryeziu family,1236739222,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Start
Artur Kuko,1112281132,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Stub
Xhavid Leskoviku,1180950536,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Start
Sabit Lulo,1180950488,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Stub
Gjon Markagjoni,1227760361,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,C
Tefik Mborja,1234673487,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Start
Hysni Milloshi,1218412314,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Start
Musa Qazimi,1235824584,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,GA
Mustafa Ndroqi,1198219291,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Stub
Behxhet Nepravishta,1180949734,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Stub
Adrian Neritani,1196135017,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Start
Sali Nivica,1240539074,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Start
Thoma Orologa,1180949774,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,Start
